"Name","Symbol","Last","Open","Prev.","High","Low","Chg. %","Time"
"USD/INR - US Dollar Indian Rupee","USD/INR - US Dollar Indian Rupee","73.054","73.190","73.054","73.054","73.054","0.00%","31/12"
"US Dollar Index Futures","DX","89.898","89.505","89.649","89.955","89.477","+0.28%","02:28:59"
"USD/EUR - US Dollar Euro","USD/EUR - US Dollar Euro","0.8188","0.8185","0.8185","0.8190","0.8186","+0.03%","04:30:01"
"S&P 500","US500","3,756.07","3,733.27","3,756.07","3,760.20","3,726.88","+0.64%","01:29:47"
"S&P 500 Futures","ESc1","3,748.75","3,748.75","3,724.25","3,748.75","3,748.75","0.00%","07:30:35"
"Dow Jones Industrial Average",".DJI","30,606.48","30,417.64","30,409.56","30,637.47","30,344.50","+0.65%","03:34:09"
"Dow Jones 30 Futures","1YMc1","30,482.0","30,311.5","30,302.0","30,523.0","30,231.5","+0.59%","07:30:35"
"Nasdaq 100",".NDX","12,888.28","12,852.96","12,845.36","12,904.09","12,804.75","+0.33%","03:45:00"
"Nasdaq 100 Futures","NQc1","12,883.00","12,883.00","12,841.50","12,883.00","12,883.00","-0.02%","07:30:35"
"FTSE 100","UK100","6,460.52","6,555.82","6,460.52","6,555.82","6,439.41","-1.45%","31/12"
"FTSE 100 Futures","FFIc1","6,412.8","6,468.2","6,412.8","6,473.5","6,381.2","-1.44%","31/12"
"DAX","DE30","13,718.78","13,750.99","13,718.78","13,797.09","13,717.47","-0.31%","30/12"
"DAX Futures","DE30","13,655.7","13,717.4","13,655.7","13,786.0","13,641.6","-0.36%","31/12"
"Shanghai Composite",".SSEC","3,473.07","3,419.73","3,414.45","3,474.92","3,419.73","+1.72%","31/12"
"Nifty 50",".NSEI","13,981.75","13,970.00","13,981.95","14,024.85","13,936.45","-0.11%","08:00:01"
"Nifty 50 Futures","SINc1","14,020.00","14,024.00","14,016.00","14,057.00","13,951.00","+0.03%","08:26:00"
"Nifty Bank",".NSEBANK","31,264.05","31,295.90","31,303.05","31,409.50","31,088.10","-0.12%","08:00:01"
"India VIX",".NIFVIX","21.0950","21.1100","21.1100","21.5050","19.1900","-0.07%","08:00:01"
"CBOE Volatility Index","VIX","22.75","22.99","22.75","23.25","21.24","-0.09%","02:44:34"
"S&P 500 VIX Futures","VXc1","23.58","23.83","23.68","24.12","23.23","-0.40%","03:26:15"
