"Name","Symbol","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time"
"AXIS Bank Ltd","AXBK.NS","607.10","615.75","615.75","602.30","-8.80","-1.43%","22,304,873","15:31:04"
"Bandhan Bank Ltd","BANH.NS","412.15","414.00","416.95","409.50","+1.85","+0.45%","7,804,704","15:31:04"
"Bank of Baroda Ltd","BOB.NS","67.15","67.15","68.10","65.50","+0.15","+0.22%","43,095,543","15:31:17"
"Federal Bank Ltd.","FED.NS","67.40","68.65","68.65","66.70","-1.00","-1.46%","28,745,790","15:31:04"
"HDFC Bank Ltd","HDBK.NS","1,391.30","1,380.80","1,394.95","1,366.00","+19.15","+1.40%","10,775,810","15:31:03"
"ICICI Bank Ltd","ICBK.NS","518.05","524.00","524.25","513.10","-7.75","-1.47%","26,961,762","15:31:04"
"IDFC First Bank Ltd","IDFB.NS","37.75","37.70","37.95","36.85","0.00","0.00%","19,415,778","15:31:13"
"IndusInd Bank Ltd.","INBK.NS","926.75","923.00","931.40","908.45","+5.50","+0.60%","7,644,964","15:31:04"
"Kotak Mahindra Bank Ltd.","KTKM.NS","1,951.15","1,948.00","1,958.00","1,919.30","+11.80","+0.61%","4,139,518","15:31:04"
"Punjab National Bank","PNBK.NS","40.60","41.25","41.30","39.70","-0.65","-1.58%","56,879,796","15:31:07"
"RBL Bank Ltd","RATB.NS","237.10","235.00","238.00","228.20","+2.25","+0.96%","16,604,966","15:31:04"
"State Bank Of India","SBI.NS","270.65","274.05","274.05","268.15","-3.55","-1.29%","34,876,927","15:31:04"
"Nifty Bank",".NSEBANK","30,691.05","30,805.40","30,805.85","30,345.75","-54.85","-0.18%","279,342","15:31:04"
"Nifty 50",".NSEI","13,567.85","13,547.20","13,589.65","13,447.05","+9.70","+0.07%","497,533","15:31:04"
"India VIX",".NIFVIX","19.3450","19.4025","19.8275","15.6925","-0.0575","-0.30%","-","15:32:35"
"NASDAQ Bank",".IXBK","3,455.8","3,519.5","3,519.5","3,448.8","-13.4","-0.39%","-","03:45:00"
"Dow Jones Banks",".DJUSBK","410.04","420.28","420.75","409.38","-4.76","-1.15%","211,730,947","05:21:30"
"HDFC Bank Limited ADR","HDB","66.60","66.77","67.81","66.33","-0.16","-0.24%","1,832,396","02:29:59"
"Icici Bank Limited ADR","IBN","14.29","14.42","14.51","14.27","+0.19","+1.35%","8,314,277","02:29:59"
"Icici Bank Limited ADR","ICBKy.F","11.800","11.600","11.800","11.600","+0.100","+0.85%","400","15:21:00"
